profile_id,country,profile_label,career_start_dt,last_observed_dt,duration_observed_months,event_a,time_to_event_a_months,event_b,time_to_event_b_months,baseline_seniority,number_of_roles,lcnc_share,profile_label_primary,career_start_year
1,Romania,Other,2003-09-01,2026-04-10,271.0,1,18.0,0,271.0,3.0,6,,Excluded_Other_Mixed,2003.0
2,Romania,Traditional Software Development,2013-01-01,2026-04-10,159.0,1,126.0,0,159.0,3.0,3,0.0,Traditional Software Development,2013.0
3,Sweden,Traditional Software Development,2022-12-01,2026-04-10,40.0,0,40.0,0,40.0,1.0,3,0.0,Traditional Software Development,2022.0
4,Sweden,Traditional Software Development,2010-08-01,2026-04-10,188.0,1,69.0,1,69.0,1.0,14,0.0,Traditional Software Development,2010.0
5,Sweden,LCNC,2015-01-01,2026-04-10,135.0,1,37.0,1,54.0,3.0,6,1.0,LCNC,2015.0
6,Romania,Traditional Software Development,2001-01-01,2026-04-10,303.0,1,61.0,1,61.0,3.0,3,0.0,Traditional Software Development,2001.0
7,Romania,Traditional Software Development,2020-08-01,2026-04-10,68.0,0,68.0,0,68.0,1.0,2,0.0,Traditional Software Development,2020.0
8,Romania,Other,1997-11-01,2026-04-10,341.0,0,341.0,0,341.0,3.0,3,,Excluded_Other_Mixed,1997.0
9,Romania,Other,2006-04-01,2026-04-10,240.0,1,148.0,0,240.0,3.0,4,,Excluded_Other_Mixed,2006.0
10,Romania,Traditional Software Development,2018-03-01,2026-04-10,97.0,1,32.0,1,32.0,1.0,4,0.0,Traditional Software Development,2018.0
11,Romania,Traditional Software Development,2018-07-01,2026-04-10,93.0,1,79.0,1,79.0,3.0,4,0.0,Traditional Software Development,2018.0
12,Romania,Traditional Software Development,2005-11-01,2026-04-10,245.0,1,22.0,1,22.0,3.0,10,0.0,Traditional Software Development,2005.0
13,Romania,Other,1994-06-01,2026-04-10,382.0,1,57.0,1,57.0,3.0,4,,Excluded_Other_Mixed,1994.0
14,Romania,Traditional Software Development,2013-06-01,2026-04-10,154.0,1,129.0,0,154.0,1.0,3,0.0,Traditional Software Development,2013.0
15,Romania,Traditional Software Development,2015-07-01,2026-04-10,129.0,1,103.0,1,103.0,1.0,7,0.0,Traditional Software Development,2015.0
