country,profile_group,months,cum_incidence_outcome_a,cum_incidence_outcome_b,n_profiles
Sweden,Traditional Software Development,12,0.18627450980392157,0.11764705882352941,102
Sweden,Traditional Software Development,24,0.22549019607843138,0.14705882352941177,102
Sweden,Traditional Software Development,36,0.30392156862745096,0.20588235294117646,102
Sweden,Traditional Software Development,60,0.47058823529411764,0.24509803921568626,102
Sweden,LCNC,12,0.1935483870967742,0.16129032258064516,31
Sweden,LCNC,24,0.22580645161290322,0.1935483870967742,31
Sweden,LCNC,36,0.2903225806451613,0.22580645161290322,31
Sweden,LCNC,60,0.5483870967741935,0.45161290322580644,31
Sweden,Mixed,12,0.16666666666666666,0.08333333333333333,12
Sweden,Mixed,24,0.16666666666666666,0.08333333333333333,12
Sweden,Mixed,36,0.16666666666666666,0.08333333333333333,12
Sweden,Mixed,60,0.16666666666666666,0.08333333333333333,12
Romania,Traditional Software Development,12,0.03571428571428571,0.023809523809523808,84
Romania,Traditional Software Development,24,0.05952380952380952,0.047619047619047616,84
Romania,Traditional Software Development,36,0.10714285714285714,0.05952380952380952,84
Romania,Traditional Software Development,60,0.23809523809523808,0.11904761904761904,84
Romania,LCNC,12,0.075,0.075,40
Romania,LCNC,24,0.125,0.125,40
Romania,LCNC,36,0.175,0.175,40
Romania,LCNC,60,0.25,0.2,40
Romania,Mixed,12,0.0,0.0,20
Romania,Mixed,24,0.15,0.05,20
Romania,Mixed,36,0.15,0.1,20
Romania,Mixed,60,0.15,0.1,20
