profile_id,country,position_in_career,position_from_recent,job_title,company,start_year,start_month,end_year,end_month,duration_months,is_current,seniority_hint,raw_date_line,job_text,lcnc_label
1,Romania,5,1,Senior LMS Technical Consultant Oracle Full-timeOracle Full-time,,2019,1.0,,,86,True,senior,Jan 2019 - Present · 7 yrs 2 mosJan 2019 to Present · 7 yrs 2 mos,Senior LMS Technical Consultant Oracle Full-timeOracle Full-time,ERROR
1,Romania,4,2,,,2017,5.0,,,106,True,unknown,"Bucharest, Romania · Hybrid Senior Technical Support Engineer Oracle Romania May 2017 - Present · 8 yrs 10 mos",Unknown,ERROR
1,Romania,3,3,,,2015,4.0,,,131,True,unknown,"Bucuresti Testing Analyst TEAMNET INTERNATIONAL SATEAMNET INTERNATIONAL SA Apr 2015 - Present · 10 yrs 11 mos, Bucharest, Romania Technical reviewer Teamnet InternationalTeamnet International Mar 2014 - Mar 2015 · 1 yr 1 mo",Unknown,ERROR
1,Romania,2,4,,,2005,3.0,2014.0,2.0,108,False,unknown,"Bucharest, Romania Senior Accounting Technician Ciel RomaniaCiel Romania Mar 2005 - Feb 2014 · 9 yrs",Unknown,ERROR
1,Romania,1,5,,,2003,9.0,2005.0,3.0,19,False,unknown,"Bucharest, Romania Inginer proiectant I.N.M.A.I.N.M.A. Sep 2003 - Mar 2005 · 1 yr 7 mosSep 2003 to Mar 2005 · 1 yr 7 mos ""bucu",Unknown,ERROR
2,romania,3,1,Service Operations Expert,Orange,2023,7.0,,,32,True,unknown,Jul 2023 - Present · 2 yrs 8 mosJul 2023 to Present · 2 yrs 8 mos,Service Operations Expert at Orange,ERROR
2,romania,2,2,Core Network Engineer,Services,2017,4.0,2023.0,7.0,76,False,mid,Apr 2017 - Jul 2023 · 6 yrs 4 mosApr 2017 to Jul 2023 · 6 yrs 4 mos,Core Network Engineer at Services,ERROR
2,romania,1,3,Network Supervision Engineer,Romania,2013,,2017.0,3.0,51,False,mid,"2013 - Mar 2017 · 4 yrs 3 mos2013 to Mar 2017 · 4 yrs 3 mos ""Bucharest, Romania",Network Supervision Engineer at Romania,ERROR
3,sweden,3,1,"Software Engineer"" Software Engineer Flightloop · Full-timeFlightloop · Full-time",,2024,12.0,,,15,True,mid,Dec 2024 - Present · 1 yr 3 mos,"Software Engineer"" Software Engineer Flightloop · Full-timeFlightloop · Full-time",ERROR
3,sweden,2,2,Software Developer,,2023,7.0,2024.0,11.0,17,False,mid,ScorebuzzerScorebuzzer Jul 2023 - Nov 2024 · 1 yr 5 mosJul 2023 to Nov 2024 · 1 yr 5 mos,Software Developer,ERROR
3,sweden,1,3,,,2022,12.0,2023.0,6.0,7,False,unknown,"Dec 2022 - Jun 2023 · 7 mosDec 2022 to Jun 2023 · 7 mos ""Battaramulla, Western Province, Sri Lanka · On-siteBattaramulla, Western Province, Sri Lanka · On-site",Unknown,ERROR
4,sweden,15,1,"Master Thesis Researcher"" Master Thesis Researcher Deep Forestry · Part-timeDeep Forestry · Part-time",,2026,1.0,,,2,True,unknown,Jan 2026 - Present · 2 mosJan 2026 to Present · 2 mos,"Master Thesis Researcher"" Master Thesis Researcher Deep Forestry · Part-timeDeep Forestry · Part-time",ERROR
