profile_id,job_title,country,start_date,end_date,company,position_in_career,job_label,seniority_level,duration_months
1,Senior LMS Technical Consultant,Romania,2019-01,,Oracle,6,Other,4,86
1,Senior Technical Support Engineer,Romania,2017-05,,Oracle Romania,5,Other,4,106
1,Testing Analyst,Romania,2015-04,,TEAMNET INTERNATIONAL SA,4,Other,3,131
1,Technical Reviewer,Romania,2014-03,2015-03,Teamnet International,3,Other,3,12
1,Senior Accounting Technician,Romania,2005-03,2014-02,Ciel Romania,2,Other,4,107
1,Design Engineer,Romania,2003-09,2005-03,I.N.M.A.,1,Other,3,18
2,Service Operations Expert,romania,2023-07,,Orange,3,Other,4,32
2,Core Network Engineer,romania,2017-04,2023-07,Orange Services,2,Traditional Software Development,3,75
2,Network Supervision Engineer,romania,2013,2017-03,Orange Romania,1,Other,3,50
3,Software Engineer,sweden,2024-12,,Flightloop,3,Traditional Software Development,3,15
3,Software Developer,sweden,2023-07,2024-11,Scorebuzzer,2,Traditional Software Development,3,16
3,Software Engineer Internship,sweden,2022-12,2023-06,iLabs,1,Traditional Software Development,1,6
4,Master Thesis Researcher,sweden,2026-01,,Deep Forestry,14,Other,1,2
4,Co-founder and Chief Innovation Officer,sweden,2024-10,,Tree++ (Tree Plus Plus),13,Other,7,17
4,IT Analyst and DevOps Engineer,sweden,2014-12,,BRB - Bank of Brasília,12,Traditional Software Development,3,135
4,IT Manager,sweden,2016-05,2024-07,BRB - Bank of Brasília,11,Other,6,98
4,Student Ambassador,sweden,2025-07,,Drivhuset Stockholm,10,Other,1,8
4,Team Leader,sweden,2024-11,,SU Heroes - Hackathon Team,9,Other,5,16
4,Marketing Communications Manager,sweden,2024-10,,Alla Ska Få Mat,8,Other,6,17
4,Research Engineer,sweden,2024-08,,LabRisk,7,Traditional Software Development,3,19
4,Marketing Communications Manager,sweden,2024-02,,DevOpsDays Brasília,6,Other,6,25
4,Teaching Assistant,sweden,2025-10,2026-01,Stockholm University,5,Other,0,3
4,Research Engineer,sweden,2022-04,2022-09,IBICT - Brazilian Institute of Information in Science and Technology,4,Traditional Software Development,3,5
