profile_id,job_title,country,start_date,end_date,company,position_in_career
1,Senior LMS Technical Consultant,Romania,2019-01,,Oracle,6
1,Senior Technical Support Engineer,Romania,2017-05,,Oracle Romania,5
1,Testing Analyst,Romania,2015-04,,TEAMNET INTERNATIONAL SA,4
1,Technical Reviewer,Romania,2014-03,2015-03,Teamnet International,3
1,Senior Accounting Technician,Romania,2005-03,2014-02,Ciel Romania,2
1,Design Engineer,Romania,2003-09,2005-03,I.N.M.A.,1
2,Service Operations Expert,romania,2023-07,,Orange,3
2,Core Network Engineer,romania,2017-04,2023-07,Orange Services,2
2,Network Supervision Engineer,romania,2013,2017-03,Orange Romania,1
3,Software Engineer,sweden,2024-12,,Flightloop,3
3,Software Developer,sweden,2023-07,2024-11,Scorebuzzer,2
3,Software Engineer Internship,sweden,2022-12,2023-06,iLabs,1
4,Master Thesis Researcher,sweden,2026-01,,Deep Forestry,14
4,Co-founder and Chief Innovation Officer,sweden,2024-10,,Tree++ (Tree Plus Plus),13
4,IT Analyst and DevOps Engineer,sweden,2014-12,,BRB - Bank of Brasília,12
4,IT Manager,sweden,2016-05,2024-07,BRB - Bank of Brasília,11
4,Student Ambassador,sweden,2025-07,,Drivhuset Stockholm,10
4,Team Leader,sweden,2024-11,,SU Heroes - Hackathon Team,9
4,Marketing Communications Manager,sweden,2024-10,,Alla Ska Få Mat,8
4,Research Engineer,sweden,2024-08,,LabRisk,7
4,Marketing Communications Manager,sweden,2024-02,,DevOpsDays Brasília,6
4,Teaching Assistant,sweden,2025-10,2026-01,Stockholm University,5
4,Research Engineer,sweden,2022-04,2022-09,IBICT - Brazilian Institute of Information in Science and Technology,4
4,Software Engineer,sweden,2014-02,2014-11,Ministério da Integração e do Desenvolvimento Regional,3
4,Web Developer and Designer,sweden,2011-05,2012-11,,2
4,Intern,sweden,2010-08,2011-05,,1
5,Founding Product Designer,sweden,2019-07,,UI Bakery,6
5,Low-code and Webflow developer,sweden,2022-08,2025-11,Self-Employed,5
5,Product Designer,sweden,2019-07,2022-01,Akveo,4
5,Senior UX/UI Designer,sweden,2018-02,2019-09,,3
5,UX/UI Designer,sweden,2016-04,2018-02,EffectiveSoft Corporation,2
5,web-designer,sweden,2015-01,2016-04,freelance,1
6,Operations Manager,romania,2006-02,,ORPAK,3
6,Programmer,romania,2001,2003,Eurosoft Communication,2
6,Programmer,romania,2001,2003,GFS Communications,1
7,Software Engineer,romania,2022-07,,Deutsche Bank,2
7,Team Member of Incoming Internships,romania,2020-08,2021-01,AIESEC in Romania,1
8,Technical Solutions Specialist,Romania,2022-03,,Orange Romania Communications,3
8,Technical Solutions Specialist,Romania,2007-10,2022-03,Telekom Romania,2
8,Customer Service Specialist,Romania,1997-11,2007-10,Romtelecom,1
9,Application Expert,romania,2024-10,,Dr. Max Romania,4
9,Application Expert,romania,2018-08,2025-03,High Tech Systems& Software SRL,3
9,IT Technician,romania,2008-02,2018-08,MASTER COMPUTERS SRL,2
9,"IT Technician, Sales Consultant",romania,2006-04,2008-02,Mobexpert,1
10,Technical Project Manager,romania,2020-11,,Acrelec Software,4
10,Technical Engineer,romania,2019-09,2020-11,Microsoft,3
10,Technical Engineer Intern,romania,2018-07,2018-10,Microsoft,2
10,Software Developer Intern,romania,2018-03,2018-06,Deutsche Bank,1
11,Chapter Lead,romania,2025-02,,ING Hubs Romania,4
11,Software Engineer,romania,2019-07,2025-02,ING Hubs Romania,3
11,Undergraduate Teaching Assistant,romania,2019-02,2023-06,"Facultatea de Automatică și Calculatoare, UPB",2
11,Software Engineer,romania,2018-07,2019-01,ING Tech Romania,1
12,Chief Executive Officer,romania,2024-03,,SII Romania,10
12,Director of Operations,romania,2017-09,2024-03,SII Romania,9
12,Business Unit Manager,romania,2014-01,2024-03,SII Romania,8
12,Project Manager and team leader,romania,2013-11,2014-01,SII Romania,7
12,Implementation Team Manager,romania,2011-01,2013-11,TotalSoft,6
12,Project Manager and team leader,romania,2011-01,2013-11,TotalSoft,5
12,Senior Technical and Business Consultant,romania,2011-01,2013-03,TotalSoft,4
12,Software Developer & Team Leader,romania,2007-09,2011-01,TotalSoft,3
12,Assistant lecturer,romania,2008-10,2009-10,Academy of Economic Studies in Bucharest,2
12,Software Developer,romania,2005-11,2007-09,Intelliblocks Software SRL,1
