profile_id,job_title,country,start_date,end_date,company,position_in_career
1,Design Engineer,Romania,2003-09,2005-03,I.N.M.A.,6
1,Senior Accounting Technician,Romania,2005-03,2014-02,Ciel Romania,5
1,Technical reviewer,Romania,2014-03,2015-03,Teamnet International,4
1,Testing Analyst,Romania,2015-04,,TEAMNET INTERNATIONAL SA,3
1,Senior Technical Support Engineer,Romania,2017-05,,Oracle Romania,2
1,Senior LMS Technical Consultant,Romania,2019-01,,Oracle,1
2,Service Operations Expert,romania,2023-07,,Orange,3
2,Core Network Engineer,romania,2017-04,2023-07,Orange Services,2
2,Network Supervision Engineer,romania,2013,2017-03,Orange Romania,1
3,Software Engineer,sweden,2024-12,,Flightloop,3
3,Software Developer,sweden,2023-07,2024-11,Scorebuzzer,2
3,Software Engineer Internship,sweden,2022-12,2023-06,iLabs,1
